Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~remote.PrjPcb|ReportField=ProjectFullPath~C:\Users\Chris\Documents\senior project\remote.PrjPcb|ReportField=Title~Bill of Materials For Project [remote.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~35|ReportField=ReportTime~11:39:48|ReportField=ReportDate~2/12/2013|ReportField=ReportDateTime~2/12/2013 11:39:48|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/12/2013|ReportField=CurrentTime~11:34:36|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Chris\Documents\senior project\remote.SchDoc|ReportField=DocumentName~remote.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/12/2013|ReportField=Organization~|ReportField=ProjectName~remote.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~remote.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Chris\Documents\senior project\remote.PrjPcb
ATMega32u4||QFN50P700X700-44W3M|ATMega32u4|1|
CYRF8935||QFN50P400X400-24VAL|CYRF8935|1|
NCSTCE16M0V53-R0||OSC|NCSTCE16M0V53-R0|1|
switch||switch|switch|1|
u.fl|BNC Elbow Connector|U.FL connector|BNC|1|
Cap Semi|Capacitor (Semiconductor SIM Model)|CAPC2021N|Cap Semi|2|1uF
Cap Semi|Capacitor (Semiconductor SIM Model)|CAPC2021N|Cap Semi|3|0.1uF
Cap Semi|Capacitor (Semiconductor SIM Model)|CAPC2021N|Cap Semi|1|4.7uF
Cap Semi|Capacitor (Semiconductor SIM Model)|CAPC2021N|Cap Semi|2|10uF
Cap Semi|Capacitor (Semiconductor SIM Model)|CAPC2021N|Cap Semi|2|20pF
Cap Semi|Capacitor (Semiconductor SIM Model)|CAPC2021N|Cap Semi|1|1pF
XTAL|Crystal Oscillator|BCY-W2/D3.1|XTAL|1|
Antenna|Generic Antenna|PIN1|Antenna|1|
Inductor|Inductor|INDC1005AL|Inductor|1|2.2nH
BQ24090|Li+ battery charger|mSOP10|BQ24090|1|
Battery|Multicell Battery|BAT-2|Battery|1|
Res3|Resistor|RESC2012N|Res3|1|1.2k
Res3|Resistor|RESC2012N|Res3|1|20k
Res3|Resistor|RESC2012N|Res3|2|10k
Res3|Resistor|RESC2012N|Res3|4|2.2k
Res3|Resistor|RESC2012N|Res3|1|680k
Res3|Resistor|RESC2012N|Res3|1|51
LED1|Typical RED GaAs LED|LED-1|LED1|2|
5000750517|USB On-The-Go (OTG) Mini-B Receptacle, Right Angle, Thru-Hole, 0.80mm (.031") Pitch, Solder Tails & Shell Tabs with Dimples|5000750517|5000750517|1|
NCP1117ST33T3G|Voltage Regulator|SOT223-4N|Volt Reg|1|
